,id,url,name,national_park,rating,difficulty,length,elevation_gain,route_type,dog_status,kid_status,bike_status,attributes,state,time
14366,14374,https://www.alltrails.com/trail/us/ohio/brandywine-falls-loop?ref=result-card,Brandywine Falls Loop,Cuyahoga Valley National Park,4.5,easy,2.7,396.0,Loop,Dogs On Leash,Kid Friendly,No Restrictions,"['dogs on leash', 'kid friendly', 'hiking', 'nature trips', 'walking', 'running', 'partially paved', 'river', 'waterfall']",Ohio,1.1
14513,14521,https://www.alltrails.com/trail/us/west-virginia/endless-wall?ref=result-card,Endless Wall Trail,New River Gorge National Park and Preserve,5.0,easy,2.3,288.0,Point to point,Dogs On Leash,Not Kid Friendly,No Restrictions,"['dogs on leash', 'hiking', 'nature trips', 'rock climbing', 'forest', 'river', 'views', 'wildflowers', 'wildlife', 'muddy', 'rocky']",West Virginia,1.12
14534,14542,https://www.alltrails.com/trail/us/west-virginia/canyon-rim-overlook-boardwalk?ref=result-card,Canyon Rim Overlook Boardwalk,New River Gorge National Park and Preserve,4.5,easy,0.6,88.0,Out & back,Dogs On Leash,Kid Friendly,No Restrictions,"['dogs on leash', 'wheelchair friendly', 'kid friendly', 'stroller friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'forest', 'partially paved', 'river', 'views', 'fee']",West Virginia,0.23
14535,14543,https://www.alltrails.com/trail/us/west-virginia/kaymoor-miners-trail?ref=result-card,Kaymoor Miner's Trail ,New River Gorge National Park and Preserve,4.5,hard,1.6,869.0,Out & back,Dogs On Leash,Not Kid Friendly,No Restrictions,"['dogs on leash', 'hiking', 'nature trips', 'bird watching', 'cave', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'historic site']",West Virginia,1.23
14538,14546,https://www.alltrails.com/trail/us/west-virginia/grandview-rim-trail-to-turkey-spur-rock?ref=result-card,Grandview Rim Trail to Turkey Spur Rock,New River Gorge National Park and Preserve,4.5,easy,3.3,331.0,Out & back,Dogs On Leash,Not Kid Friendly,No Restrictions,"['dogs on leash', 'hiking', 'nature trips', 'walking', 'bird watching', 'forest', 'river', 'views', 'wildflowers', 'wildlife']",West Virginia,1.55
14549,14557,https://www.alltrails.com/trail/us/west-virginia/glade-creek-new-river-to-pinch-creek?ref=result-card,Glade Creek: New River to Pinch Creek,New River Gorge National Park and Preserve,4.5,moderate,12.0,1394.0,Out & back,Dogs On Leash,Not Kid Friendly,No Restrictions,"['dogs on leash', 'hiking', 'nature trips', 'bird watching', 'forest', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'blowdown', 'muddy', 'rocky']",West Virginia,5.77
14577,14585,https://www.alltrails.com/trail/us/west-virginia/waterfalls-of-the-new-river-greenbrier-valley-region?ref=result-card,Waterfalls of the New River & Greenbrier Valley Region,New River Gorge National Park and Preserve,4.5,easy,0.4,9.0,Out & back,Dogs On Leash,Kid Friendly,No Restrictions,"['dogs on leash', 'kid friendly', 'hiking', 'walking', 'views', 'waterfall']",West Virginia,0.17
14578,14586,https://www.alltrails.com/trail/us/west-virginia/tunnel-trail?ref=result-card,Tunnel Trail,New River Gorge National Park and Preserve,4.5,easy,0.5,108.0,Loop,Dogs On Leash,Kid Friendly,No Restrictions,"['dogs on leash', 'kid friendly', 'walking', 'cave', 'forest', 'views', 'wildflowers', 'wildlife']",West Virginia,0.22
14582,14590,https://www.alltrails.com/trail/us/west-virginia/rend-trail?ref=result-card,Rend Trail,New River Gorge National Park and Preserve,4.5,moderate,9.1,1030.0,Loop,No Dogs Allowed,Kid Friendly,Ideal For Biking,"['kid friendly', 'hiking', 'horseback riding', 'mountain biking', 'nature trips', 'bird watching', 'running', 'forest', 'river', 'views', 'wildflowers', 'wildlife', 'bridge out', 'historic site', 'no dogs']",West Virginia,4.37
14588,14596,https://www.alltrails.com/trail/us/west-virginia/long-point-via-butcher-branch-trail?ref=result-card,Long Point via Butcher Branch Trail,New River Gorge National Park and Preserve,4.5,moderate,2.9,547.0,Out & back,No Restrictions,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'dog friendly', 'forest', 'river', 'views', 'wildflowers', 'wildlife']",West Virginia,1.17
14595,14603,https://www.alltrails.com/trail/us/west-virginia/keeneys-creek-to-nuttallburg?ref=result-card,Keeneys Creek to Nuttallburg,New River Gorge National Park and Preserve,4.0,easy,2.8,308.0,Loop,No Restrictions,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'bird watching', 'rails trails', 'river', 'views']",West Virginia,1.33
14597,14605,https://www.alltrails.com/trail/us/west-virginia/headhouse-trail?ref=result-card,Headhouse Trail,New River Gorge National Park and Preserve,4.5,moderate,1.3,393.0,Out & back,No Restrictions,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'forest', 'views', 'wildlife', 'historic site']",West Virginia,0.78
14619,14627,https://www.alltrails.com/trail/us/west-virginia/fayetteville-trail-long-point-trail-and-kaymoor-trail-loop?ref=result-card,"Fayetteville Trail, Long Point Trail, and Kaymoor Trail Loop",New River Gorge National Park and Preserve,4.5,hard,9.0,1686.0,Loop,Dogs On Leash,Not Kid Friendly,No Restrictions,"['dogs on leash', 'hiking', 'forest', 'river', 'views']",West Virginia,4.63
14633,14641,https://www.alltrails.com/trail/us/west-virginia/concho-overlook-trail?ref=result-card,Concho Overlook Trail,New River Gorge National Park and Preserve,4.0,easy,0.6,68.0,Out & back,No Restrictions,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'forest', 'views', 'waterfall']",West Virginia,0.28
14634,14642,https://www.alltrails.com/trail/us/west-virginia/timber-ridge-trail?ref=result-card,Timber Ridge Trail ,New River Gorge National Park and Preserve,4.5,easy,1.7,144.0,Out & back,Dogs On Leash,Kid Friendly,Ideal For Biking,"['dogs on leash', 'kid friendly', 'hiking', 'mountain biking', 'nature trips', 'walking', 'bird watching', 'forest', 'views', 'wildflowers', 'wildlife']",West Virginia,0.78
14635,14643,https://www.alltrails.com/trail/us/west-virginia/new-river-gorge-off-road-trail?ref=result-card,New River Gorge OHV Route,New River Gorge National Park and Preserve,4.5,moderate,12.5,1377.0,Point to point,No Restrictions,Not Kid Friendly,No Restrictions,"['ohv/off-road driving', 'forest', 'river', 'views', 'wildflowers', 'wildlife', 'bugs', 'muddy', 'over grown', 'rocky', 'washed out', 'historic site']",West Virginia,0.0
14643,14651,https://www.alltrails.com/trail/us/west-virginia/bridge-trail-fayette-trail?ref=result-card,Bridge Trail to Fayette Trail ,New River Gorge National Park and Preserve,4.0,hard,3.1,754.0,Out & back,Dogs On Leash,Not Kid Friendly,No Restrictions,"['dogs on leash', 'hiking', 'forest', 'views', 'rocky']",West Virginia,1.23
14647,14655,https://www.alltrails.com/trail/us/west-virginia/stone-cliff-trail--2?ref=result-card,Stone Cliff Trail,New River Gorge National Park and Preserve,4.0,moderate,4.4,337.0,Out & back,Dogs On Leash,Kid Friendly,No Restrictions,"['dogs on leash', 'kid friendly', 'fishing', 'hiking', 'nature trips', 'walking', 'bird watching', 'forest', 'river', 'views', 'wildflowers', 'wildlife']",West Virginia,0.03
14656,14664,https://www.alltrails.com/trail/us/west-virginia/butchers-branch-trail?ref=result-card,Butchers Branch Trail ,New River Gorge National Park and Preserve,4.0,easy,1.3,246.0,Out & back,Dogs On Leash,Kid Friendly,No Restrictions,"['dogs on leash', 'kid friendly', 'hiking', 'nature trips', 'forest', 'views', 'wildflowers', 'wildlife']",West Virginia,0.52
14681,14689,https://www.alltrails.com/trail/us/west-virginia/thurmond-southside-trail?ref=result-card,Thurmond-Southside Trail,New River Gorge National Park and Preserve,4.0,moderate,7.4,321.0,Out & back,Dogs On Leash,Not Kid Friendly,Ideal For Biking,"['dogs on leash', 'hiking', 'mountain biking', 'nature trips', 'walking', 'bird watching', 'forest', 'river', 'views', 'wildflowers', 'wildlife']",West Virginia,3.2
14698,14706,https://www.alltrails.com/trail/us/west-virginia/long-point-via-fayetteville-trail?ref=result-card,Long Point via Fayetteville Trail,New River Gorge National Park and Preserve,4.5,moderate,6.3,882.0,Out & back,No Restrictions,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'forest', 'river', 'views', 'wildflowers', 'wildlife']",West Virginia,2.55
14706,14714,https://www.alltrails.com/trail/us/west-virginia/burnwood-trail?ref=result-card,Burnwood Trail,New River Gorge National Park and Preserve,4.0,easy,1.3,154.0,Loop,Dogs On Leash,Kid Friendly,No Restrictions,"['dogs on leash', 'kid friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'forest', 'wildflowers', 'wildlife']",West Virginia,0.63
14727,14735,https://www.alltrails.com/trail/us/west-virginia/red-ash-via-southside-trail?ref=result-card,Red Ash via Southside Trail,New River Gorge National Park and Preserve,4.0,moderate,7.7,449.0,Out & back,Dogs On Leash,Not Kid Friendly,Ideal For Biking,"['dogs on leash', 'hiking', 'mountain biking', 'nature trips', 'walking', 'bird watching', 'forest', 'river', 'views', 'wildflowers', 'wildlife']",West Virginia,3.4
14760,14768,https://www.alltrails.com/trail/us/west-virginia/kaymoor-trail-cunard-to-kaymoor-top?ref=result-card,Cunard to Kaymoor Top,New River Gorge National Park and Preserve,4.5,moderate,7.2,889.0,Point to point,No Restrictions,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'river', 'views', 'wildlife']",West Virginia,3.5
14823,14831,https://www.alltrails.com/trail/us/west-virginia/little-laurel-trail?ref=result-card,Little Laurel Trail,New River Gorge National Park and Preserve,4.5,moderate,5.1,1204.0,Out & back,No Restrictions,Not Kid Friendly,No Restrictions,"['hiking', 'river', 'views', 'wildlife']",West Virginia,2.05
14879,14887,https://www.alltrails.com/trail/us/west-virginia/big-buck-trail?ref=result-card,Big Buck Trail,New River Gorge National Park and Preserve,4.5,easy,0.8,98.0,Loop,Dogs On Leash,Kid Friendly,No Restrictions,"['dogs on leash', 'kid friendly', 'hiking', 'nature trips', 'walking', 'bird watching', 'forest', 'views', 'wildflowers', 'wildlife']",West Virginia,0.38
14896,14904,https://www.alltrails.com/trail/us/west-virginia/burnwood-to-bridge-buttress-trail?ref=result-card,Burnwood to Bridge Buttress Trail,New River Gorge National Park and Preserve,3.5,moderate,2.4,446.0,Out & back,No Restrictions,Not Kid Friendly,No Restrictions,"['hiking', 'forest', 'river', 'views', 'wildlife', 'rocky']",West Virginia,0.97
14918,14926,https://www.alltrails.com/trail/us/west-virginia/brooklyn-mine-trail--3?ref=result-card,Brooklyn Mine Trail,New River Gorge National Park and Preserve,4.5,moderate,5.8,403.0,Out & back,No Restrictions,Not Kid Friendly,No Restrictions,"['hiking', 'forest', 'river', 'views', 'wildlife', 'historic site']",West Virginia,2.32
14977,14985,https://www.alltrails.com/trail/us/west-virginia/little-laurel-trail-new-river-gorge?ref=result-card,Grandview Rim Trail and Little Laurel Trail,New River Gorge National Park and Preserve,0.0,moderate,7.4,1450.0,Out & back,No Restrictions,Not Kid Friendly,No Restrictions,"['hiking', 'forest', 'river', 'views', 'wildlife']",West Virginia,2.98
15070,15078,https://www.alltrails.com/trail/us/north-carolina/clingmans-dome-observation-tower-trail?ref=result-card,Clingmans Dome Observation Tower Trail,Great Smoky Mountains National Park,4.5,moderate,1.2,331.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'nature trips', 'walking', 'running', 'forest', 'paved', 'views', 'wildflowers', 'wildlife', 'no dogs']",North Carolina,0.7
15089,15098,https://www.alltrails.com/trail/us/north-carolina/mouse-creek-falls-via-big-creek-trail?ref=result-card,Mouse Creek Falls via Big Creek Trail,Great Smoky Mountains National Park,4.5,easy,4.0,541.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'horseback riding', 'nature trips', 'forest', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'no dogs']",North Carolina,1.6
15104,15113,https://www.alltrails.com/trail/us/north-carolina/deep-creek-waterfall-loop?ref=result-card,Deep Creek Waterfall Loop,Great Smoky Mountains National Park,4.5,easy,2.5,449.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'forest', 'views', 'waterfall', 'wildflowers', 'wildlife', 'no dogs']",North Carolina,1.02
15140,15149,https://www.alltrails.com/trail/us/north-carolina/kephart-shelter-via-kephart-prong?ref=result-card,Kephart Shelter via Kephart Prong Trail,Great Smoky Mountains National Park,4.5,easy,3.9,833.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'running', 'forest', 'views', 'no dogs']",North Carolina,2.13
15147,15156,https://www.alltrails.com/trail/us/north-carolina/oconaluftee-river-trail?ref=result-card,Oconaluftee River Trail,Great Smoky Mountains National Park,4.5,easy,3.1,52.0,Out & back,Dogs On Leash,Kid Friendly,Ideal For Biking,"['dogs on leash', 'wheelchair friendly', 'kid friendly', 'stroller friendly', 'hiking', 'nature trips', 'road biking', 'walking', 'running', 'forest', 'partially paved', 'river', 'views', 'wildflowers', 'wildlife']",North Carolina,1.28
15157,15166,https://www.alltrails.com/trail/us/north-carolina/juney-whank-falls-trail?ref=result-card,Juney Whank Falls Trail,Great Smoky Mountains National Park,4.5,easy,0.6,170.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'horseback riding', 'nature trips', 'walking', 'forest', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'no dogs']",North Carolina,0.35
15178,15187,https://www.alltrails.com/trail/us/north-carolina/hemp-hill-road-trail?ref=result-card,Hemp Hill Road Trail,Great Smoky Mountains National Park,4.5,easy,3.9,820.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'nature trips', 'running', 'forest', 'river', 'views', 'wildflowers', 'wildlife', 'rocky', 'no dogs']",North Carolina,1.55
15184,15193,https://www.alltrails.com/trail/us/north-carolina/deep-creek-loop-and-indian-creek-loop-trail?ref=result-card,"Deep Creek, Loop and Indian Creek Loop Trail",Great Smoky Mountains National Park,4.5,moderate,4.7,629.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'running', 'waterfall', 'no dogs']",North Carolina,2.32
15230,15239,https://www.alltrails.com/trail/us/north-carolina/lonesome-pine-overlook--2?ref=result-card,Lonesome Pine Overlook,Great Smoky Mountains National Park,5.0,hard,6.6,2273.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'walking', 'forest', 'river', 'views', 'wildlife', 'no dogs']",North Carolina,4.2
15245,15254,https://www.alltrails.com/trail/us/north-carolina/hemphill-bald-trail?ref=result-card,Hemphill Bald Trail,Great Smoky Mountains National Park,4.5,moderate,17.7,3467.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'walking', 'running', 'forest', 'views', 'wildflowers', 'wildlife', 'rocky', 'no dogs']",North Carolina,9.13
15262,15271,https://www.alltrails.com/trail/us/north-carolina/shuckstack-tower-via-appalachian-trail?ref=result-card,Shuckstack Tower via Appalachian Trail,Great Smoky Mountains National Park,4.5,hard,6.6,2244.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'horseback riding', 'forest', 'lake', 'river', 'views', 'wildflowers', 'wildlife', 'no dogs']",North Carolina,4.18
15294,15303,https://www.alltrails.com/trail/us/north-carolina/smokemont-loop-trail?ref=result-card,Smokemont Loop Trail,Great Smoky Mountains National Park,4.0,moderate,5.9,1407.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'camping', 'hiking', 'horseback riding', 'nature trips', 'walking', 'forest', 'wildflowers', 'wildlife', 'no dogs']",North Carolina,3.33
15295,15304,https://www.alltrails.com/trail/us/north-carolina/forney-ridge-trail-to-clingmans-dome-loop?ref=result-card,Forney Ridge Trail to Clingmans Dome Loop,Great Smoky Mountains National Park,4.5,moderate,4.5,1102.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'hiking', 'nature trips', 'walking', 'forest', 'views', 'wildflowers', 'wildlife', 'no dogs']",North Carolina,2.55
15312,15321,https://www.alltrails.com/trail/us/north-carolina/clingmans-dome-bypass?ref=result-card,Mount Buckley via Clingmans Dome Bypass Trail,Great Smoky Mountains National Park,4.5,easy,1.7,426.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'walking', 'forest', 'views', 'no dogs']",North Carolina,0.7
15356,15365,https://www.alltrails.com/trail/us/north-carolina/the-boogerman-trail?ref=result-card,The Boogerman Trail,Great Smoky Mountains National Park,4.5,hard,7.3,1128.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'horseback riding', 'running', 'forest', 'river', 'views', 'wildflowers', 'wildlife', 'rocky', 'no dogs']",North Carolina,3.7
15372,15381,https://www.alltrails.com/trail/us/north-carolina/charlies-bunion-via-kephart-loop?ref=result-card,Charlies Bunion via Kephart Loop,Great Smoky Mountains National Park,4.5,hard,14.8,3677.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'forest', 'views', 'no dogs']",North Carolina,8.05
15376,15385,https://www.alltrails.com/trail/us/north-carolina/kephart-prong-trail-charlies-bunion-mount-leconte?ref=result-card,Kephart Prong Trail - Charlies Bunion - Mount LeConte ,Great Smoky Mountains National Park,4.5,hard,25.1,6824.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'hiking', 'nature trips', 'forest', 'views', 'waterfall', 'wildflowers', 'no dogs']",North Carolina,24.0
15382,15391,https://www.alltrails.com/trail/us/north-carolina/hemphill-bald-via-cataloochee-divide-trail?ref=result-card,Hemphill Bald via Cataloochee Divide Trail,Great Smoky Mountains National Park,4.5,moderate,8.5,1906.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'forest', 'river', 'views', 'no dogs']",North Carolina,4.42
15414,15423,https://www.alltrails.com/trail/us/north-carolina/cataloochee-divide-trail?ref=result-card,Cataloochee Divide Trail,Great Smoky Mountains National Park,4.5,hard,13.8,2791.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'horseback riding', 'nature trips', 'running', 'forest', 'views', 'wildflowers', 'no dogs']",North Carolina,7.45
15439,15448,https://www.alltrails.com/trail/us/north-carolina/deep-creek-to-clingmans-dome-loop?ref=result-card,Deep Creek to Clingman's Dome,Great Smoky Mountains National Park,5.0,hard,35.2,7467.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'horseback riding', 'forest', 'views', 'wildflowers', 'wildlife', 'no dogs']",North Carolina,24.0
15477,15486,https://www.alltrails.com/trail/us/north-carolina/gregory-bald-via-twentymile?ref=result-card,Gregory Bald via Twentymile,Great Smoky Mountains National Park,4.5,hard,15.5,3759.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'horseback riding', 'forest', 'views', 'wildflowers', 'wildlife', 'no dogs']",North Carolina,8.78
15478,15487,https://www.alltrails.com/trail/us/north-carolina/forney-ridge-trail--2?ref=result-card,Forney Ridge Trail,Great Smoky Mountains National Park,4.5,moderate,11.4,2769.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'forest', 'views', 'wildflowers', 'wildlife', 'no dogs']",North Carolina,6.18
15486,15495,https://www.alltrails.com/trail/us/north-carolina/mount-sterling-overnight-loop-trail?ref=result-card,Mount Sterling Overnight Loop Trail,Great Smoky Mountains National Park,4.5,hard,16.9,4281.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'horseback riding', 'running', 'forest', 'views', 'waterfall', 'wildflowers', 'wildlife', 'no dogs']",North Carolina,9.7
15508,15517,https://www.alltrails.com/trail/us/north-carolina/silers-bald-trail?ref=result-card,Silers Bald Trail,Great Smoky Mountains National Park,4.0,moderate,9.0,2208.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'running', 'views', 'wildflowers', 'no dogs']",North Carolina,5.12
15518,15527,https://www.alltrails.com/trail/us/north-carolina/fontana-dam-to-fire-tower?ref=result-card,Fontana Dam To Fire Tower,Great Smoky Mountains National Park,4.5,moderate,6.8,2201.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'views', 'wildflowers', 'wildlife', 'no dogs']",North Carolina,3.75
15528,15537,https://www.alltrails.com/trail/us/north-carolina/shuckstack-via-twenty-mile-loop?ref=result-card,Shuckstack via Twenty Mile Loop ,Great Smoky Mountains National Park,4.5,hard,11.9,2942.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'forest', 'river', 'views', 'wildflowers', 'wildlife', 'no dogs']",North Carolina,6.78
15535,15545,https://www.alltrails.com/trail/us/north-carolina/road-prong-trail?ref=result-card,Road Prong Trail,Great Smoky Mountains National Park,4.0,moderate,6.0,1840.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'walking', 'running', 'forest', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'no dogs']",North Carolina,3.67
15556,15566,https://www.alltrails.com/trail/us/north-carolina/ferguson-cabin-trail-loop?ref=result-card,Ferguson Cabin Trail Loop,Great Smoky Mountains National Park,4.5,easy,3.5,685.0,Loop,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'horseback riding', 'walking', 'wildlife', 'no dogs']",North Carolina,1.42
15568,15578,https://www.alltrails.com/trail/us/north-carolina/purchase-knob-trail?ref=result-card,Purchase Knob Trail,Great Smoky Mountains National Park,4.5,easy,4.2,787.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'hiking', 'forest', 'views', 'wildflowers', 'wildlife', 'no dogs']",North Carolina,1.67
15602,15612,https://www.alltrails.com/trail/us/north-carolina/purchase-road-ferguson-cabin-and-catalochee-divide-loop?ref=result-card,"Purchase Road, Ferguson Cabin, and Catalochee Divide Loop",Great Smoky Mountains National Park,4.5,moderate,5.4,1259.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'nature trips', 'running', 'forest', 'wildlife', 'no dogs']",North Carolina,3.03
15606,15616,https://www.alltrails.com/trail/us/north-carolina/flat-creek-trail?ref=result-card,Flat Creek Trail,Great Smoky Mountains National Park,4.0,moderate,5.1,820.0,Out & back,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'camping', 'hiking', 'nature trips', 'running', 'forest', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'no dogs']",North Carolina,2.6
15607,15617,https://www.alltrails.com/trail/us/north-carolina/lakeshore-and-tunnel-bypass-trail-loop?ref=result-card,Lakeshore and Tunnel Bypass Trail Loop,Great Smoky Mountains National Park,4.5,easy,3.2,446.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['camping', 'hiking', 'running', 'forest', 'wildflowers', 'no dogs']",North Carolina,1.58
15626,15636,https://www.alltrails.com/trail/us/north-carolina/noland-divide?ref=result-card,Noland Divide Trail,Great Smoky Mountains National Park,4.5,hard,11.1,4783.0,Point to point,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'horseback riding', 'forest', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'scramble', 'no dogs']",North Carolina,7.7
15628,15638,https://www.alltrails.com/trail/us/north-carolina/little-cataloochee-trail--2?ref=result-card,Little Cataloochee Trail ,Great Smoky Mountains National Park,4.0,moderate,10.2,2345.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'hiking', 'horseback riding', 'nature trips', 'forest', 'views', 'wildflowers', 'wildlife', 'rocky', 'no dogs']",North Carolina,5.7
15644,15654,https://www.alltrails.com/trail/us/north-carolina/appalachian-trail-charlies-bunion-and-kephart-loop?ref=result-card,Appalachian Trail: Charlie's Bunion and Kephart Loop,Great Smoky Mountains National Park,4.5,hard,16.4,4550.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'nature trips', 'forest', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'no dogs']",North Carolina,9.68
15680,15690,https://www.alltrails.com/trail/us/north-carolina/silers-bald-and-forney-creek-loop-trail?ref=result-card,Silers Bald and Forney Creek Loop Trail,Great Smoky Mountains National Park,4.5,hard,18.6,5216.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'horseback riding', 'nature trips', 'running', 'forest', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'no dogs']",North Carolina,11.02
15702,15712,https://www.alltrails.com/trail/us/north-carolina/indian-creek-and-sunkota-ridge-trail?ref=result-card,Indian Creek and Sunkota Ridge Trail,Great Smoky Mountains National Park,4.5,moderate,11.5,2076.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['camping', 'hiking', 'nature trips', 'walking', 'forest', 'views', 'waterfall', 'wildflowers', 'wildlife', 'no dogs']",North Carolina,6.03
15712,15723,https://www.alltrails.com/trail/us/north-carolina/mingus-mill-and-newton-bald-trail?ref=result-card,Mingus Mill and Newton Bald Trail,Great Smoky Mountains National Park,4.5,hard,10.1,3008.0,Point to point,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'hiking', 'horseback riding', 'forest', 'views', 'wildflowers', 'wildlife', 'rocky', 'no dogs']",North Carolina,6.1
15715,15726,https://www.alltrails.com/trail/us/north-carolina/deep-creek-martins-gap-sunkota-ridge-trail-loop?ref=result-card,Deep Creek Martin's Gap Sunkota Ridge Trail Loop,Great Smoky Mountains National Park,4.5,moderate,13.4,2857.0,Loop,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['backpacking', 'camping', 'fishing', 'hiking', 'horseback riding', 'nature trips', 'walking', 'running', 'forest', 'river', 'views', 'waterfall', 'wildflowers', 'wildlife', 'rocky', 'no dogs']",North Carolina,7.33
15739,15750,https://www.alltrails.com/trail/us/north-carolina/cherokee-to-clingmans-dome-via-441?ref=result-card,Cherokee to Clingmans Dome via 441,Great Smoky Mountains National Park,4.5,moderate,23.0,5180.0,Point to point,No Dogs Allowed,Kid Friendly,No Restrictions,"['kid friendly', 'nature trips', 'scenic driving', 'forest', 'partially paved', 'river', 'views', 'wildflowers', 'wildlife', 'no dogs']",North Carolina,0.0
15746,15757,https://www.alltrails.com/trail/us/north-carolina/nolans-creek-trail-to-fontana-lake?ref=result-card,Nolan’s Creek Trail to Fontana Lake,Great Smoky Mountains National Park,4.5,easy,2.1,187.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['camping', 'hiking', 'nature trips', 'forest', 'lake', 'views', 'no dogs']",North Carolina,0.97
15754,15765,https://www.alltrails.com/trail/us/north-carolina/mingus-creek-cemetery?ref=result-card,Mingus Creek Cemetery,Great Smoky Mountains National Park,4.5,moderate,4.2,708.0,Out & back,No Dogs Allowed,Not Kid Friendly,No Restrictions,"['hiking', 'forest', 'river', 'views', 'wildflowers', 'wildlife', 'rocky', 'historic site', 'no dogs']",North Carolina,1.67
